Train,Test,Pair,Model,Feature,ModelType,Accuracy,Precision,Recall,F1,ROC_AUC
Singapore,Tokyo,Singapore->Tokyo,A_Full_RF,A_Full,RF,0.997353,0.949742,1.0,0.974223,0.998748
Singapore,Tokyo,Singapore->Tokyo,B_Full_XGB,B_Full,XGB,0.997881,0.959368,1.0,0.979263,0.99902
Singapore,Tokyo,Singapore->Tokyo,B_NoLags_XGB,B_NoLags,XGB,0.927199,0.114565,0.067655,0.085072,0.559506
Tokyo,Singapore,Tokyo->Singapore,A_Full_RF,A_Full,RF,0.996392,1.0,0.927874,0.962588,0.983529
Tokyo,Singapore,Tokyo->Singapore,B_Full_XGB,B_Full,XGB,0.998212,1.0,0.964256,0.981803,0.988588
Tokyo,Singapore,Tokyo->Singapore,B_NoLags_XGB,B_NoLags,XGB,0.91231,0.062319,0.0536,0.057632,0.612221
London,New_York,London->New_York,A_Full_RF,A_Full,RF,0.939745,0.453636,1.0,0.62414,0.974743
London,New_York,London->New_York,B_Full_XGB,B_Full,XGB,0.939885,0.454216,1.0,0.624688,0.973753
London,New_York,London->New_York,B_NoLags_XGB,B_NoLags,XGB,0.949241,0.166667,0.00365,0.007144,0.650691
New_York,London,New_York->London,A_Full_RF,A_Full,RF,0.960814,1.0,0.216718,0.356233,0.673683
New_York,London,New_York->London,B_Full_XGB,B_Full,XGB,0.960776,1.0,0.215951,0.355197,0.837476
New_York,London,New_York->London,B_NoLags_XGB,B_NoLags,XGB,0.791335,0.112651,0.461104,0.181066,0.746595
Singapore,London,Singapore->London,A_Full_RF,A_Full,RF,0.955021,1.0,0.10092,0.183338,0.553974
Singapore,London,Singapore->London,B_Full_XGB,B_Full,XGB,0.954848,1.0,0.097454,0.1776,0.433247
Singapore,London,Singapore->London,B_NoLags_XGB,B_NoLags,XGB,0.949973,0.0,0.0,0.0,0.472748
Tokyo,New_York,Tokyo->New_York,A_Full_RF,A_Full,RF,0.982418,1.0,0.648555,0.786816,0.845458
Tokyo,New_York,Tokyo->New_York,B_Full_XGB,B_Full,XGB,0.983378,1.0,0.667757,0.800784,0.900537
Tokyo,New_York,Tokyo->New_York,B_NoLags_XGB,B_NoLags,XGB,0.889491,0.116459,0.183536,0.142499,0.596656
